"TOKEN";"REFTEXT"

"YSM_SH";"YSM Supply Helicopter"
"YSM_ST";"YSM Supply Truck"
"YSM_SB";"YSM Supply Base"
"YSM_SBT";"YSM Supply Base (Thicc)"
"YSM_SBU";"YSM Supply Base (Ultra)"

"YSM_DN_NU";"YSM DIVISION [NATO/Unlimited]"
"YSM_DD_NU";"UNLIMITED division for the BLUE side (All countries without limits)\n[Yokaiste's Sandbox Mod]"
"YSM_DN_PU";"YSM DIVISION [PACT/Unlimited]"
"YSM_DD_PU";"UNLIMITED division for the RED side (All countries without limits)\n[Yokaiste's Sandbox Mod]"
"YSM_DN_NL";"YSM DIVISION [NATO/Limited]"
"YSM_DD_NL";"LIMITED division for the BLUE side (All countries with limited units per card)\n[Yokaiste's Sandbox Mod]"
"YSM_DN_PL";"YSM DIVISION [PACT/Limited]"
"YSM_DD_PL";"LIMITED division for the RED side (All countries with limited units per card)\n[Yokaiste's Sandbox Mod]"
