"TOKEN";"REFTEXT"
"YSMN0001";"Captain Lagspike"
"YSMN0002";"Major Oofington"
"YSMN0003";"Sir Honks-a-Lot"
"YSMN0004";"Lieutenant Boomvetica"
"YSMN0005";"Colonel Clowncar"
"YSMN0006";"Private Ctrl Alt Defeat"
"YSMN0007";"Sergeant Sneaky Fridge"
"YSMN0008";"Warrant Meme Machine"
"YSMN0009";"Comrade Oopsovich"
"YSMN0010";"General Skill Issue"
"YSMN0011";"Bunker McThunk"
"YSMN0012";"Rocket McSidequest"
"YSMN0013";"Heli McWobble"
"YSMN0014";"Truckasaurus Flex"
"YSMN0015";"Tank Sinatra"
"YSMN0016";"Field Marshal Brunch"
"YSMN0017";"Captain Copium"
"YSMN0018";"Major Seethe"
"YSMN0019";"Lieutenant Based"
"YSMN0020";"Sergeant Cringe"
"YSMN0021";"Private Patch Notes"
"YSMN0022";"Commander Bonk"
"YSMN0023";"Admiral Side Eye"
"YSMN0024";"Marshal Mild Panic"
"YSMN0025";"Corporal WiFi Down"
"YSMN0026";"Rocket Raccoon Chair"
"YSMN0027";"Captain Backcap"
"YSMN0028";"Major Detour"
"YSMN0029";"Lieutenant Overtime"
"YSMN0030";"Sergeant Keyboard Slam"
"YSMN0031";"Private Loot Goblin"
"YSMN0032";"Commander Peak Comedy"
"YSMN0033";"Baron von Respawn"
"YSMN0034";"Duke of Bad Decisions"
"YSMN0035";"Colonel Snack Attack"
"YSMN0036";"Agent Side Hustle"
"YSMN0037";"Doctor Boom Boom"
"YSMN0038";"Professor Overkill"
"YSMN0039";"Chief Breadcrumb"
"YSMN0040";"Mister Tactical Nonsense"
"YSMN0041";"Captain No Chill"
"YSMN0042";"Major Orbital Goof"
"YSMN0043";"Lieutenant Loud Keyboard"
"YSMN0044";"Sergeant Snafu Deluxe"
"YSMN0045";"Private Moist Thunder"
"YSMN0046";"Commander Oops All Artillery"
"YSMN0047";"Marshal Bonkman"
"YSMN0048";"Doom Guy Adjacent"
"YSMN0049";"Count Lagula"
"YSMN0050";"General Yeet Storm"
"YSMN0051";"Captain Desk Pop"
"YSMN0052";"Major Wrong Ping"
"YSMN0053";"Sir Baitsalot"
"YSMN0054";"Lieutenant Beanstorm"
"YSMN0055";"Colonel Overtime"
"YSMN0056";"Private Misclick"
"YSMN0057";"Sergeant Hot Mic"
"YSMN0058";"Warrant Oopsie"
"YSMN0059";"Comrade Sidegrade"
"YSMN0060";"General Corn Snack"
"YSMN0061";"Bunker McFumble"
"YSMN0062";"Rocket Bankruptcy"
"YSMN0063";"Heli Spin Doctor"
"YSMN0064";"Truck Nugget"
"YSMN0065";"Tank Goblin"
"YSMN0066";"Field Marshal Tax Evasion"
"YSMN0067";"Captain Patch Day"
"YSMN0068";"Major Breadstick"
"YSMN0069";"Lieutenant Gremlin"
"YSMN0070";"Sergeant Door Dash"
"YSMN0071";"Private Snackquake"
"YSMN0072";"Commander Bonkwave"
"YSMN0073";"Admiral Scuff"
"YSMN0074";"Marshal Crouton"
"YSMN0075";"Corporal Yikes"
"YSMN0076";"Rocket Salad Dodger"
"YSMN0077";"Captain Lag Wizard"
"YSMN0078";"Major Sneezefire"
"YSMN0079";"Lieutenant Gobsmack"
"YSMN0080";"Sergeant Breadline"
"YSMN0081";"Private Jumpscare"
"YSMN0082";"Commander Free Trial"
"YSMN0083";"Baron Buffering"
"YSMN0084";"Duke Nukem Maybe"
"YSMN0085";"Colonel Rat Mode"
"YSMN0086";"Agent Pothole"
"YSMN0087";"Doctor Side Eye"
"YSMN0088";"Professor Oops"
"YSMN0089";"Chief Migraine"
"YSMN0090";"Mister Boom Coupon"
"YSMN0091";"Captain Mud Enjoyer"
"YSMN0092";"Major Bad Idea"
"YSMN0093";"Lieutenant Toe Stub"
"YSMN0094";"Sergeant Rizzaster"
"YSMN0095";"Private Forklift"
"YSMN0096";"Commander Yappuccino"
"YSMN0097";"Marshal Panic Roll"
"YSMN0098";"Count Bonkula"
"YSMN0099";"Doctor No Refunds"
"YSMN0100";"General Oops Supreme"
