"TOKEN";"REFTEXT"

"YSHELI";"Heli Zopium Express"
"YSTRUCK";"Truck-Kun Logistics"
"YSAMPHIB";"Aqua Uber"
"YSBASE";"National Copium Reserve"
"YSBUNKER";"Basement Survival Pack"
"YSDOOM";"Doomscroll Kiosk"
"YCILLEGAL";"Literally Illegal Stuff"
"YCORACLE";"Airspace Privacy Violator"
"YCWILLEGAL";"Ohio Range Autocannon"
"YNNUKE";"Democracy Delivery Bomber"
"YNWNUKE";"Priority Freedom Package"
"YNNUKE2";"Touch-Grass Event Bomber"
"YNWNUKE2";"Civilization Logout Package"
"YNWTYPE";"Thermonuclear bomb"
"YNWCAL";"50 kt"
"YNWCAL2";"250 kt"

"YZSWARM";"Z Costco Apocalypse Pack"
"YZSMOKE";"Z Vape Supplier"
"YZBREAK";"Z Door-Kicker Therapy Group"
"YZSTALK";"Z Stream-Sniper Recon"
"YZSCREE";"Z No-Fly Screaming Department"
"YZALPHA";"Z Sigma Bite Council"
"YZDEMO";"Z Structural Integrity Auditor"
"YZSHARD";"Z Bone Confetti"
"YZBITE";"Z HR Complaint Infection"
"YZMAUL";"Z Anger Management Stick"
"YZTALON";"Z Certified Grabbers"
"YZFANG";"Z Delulu Fang Collective"
"YZSPIT";"Z No-Fly Phlegm"
"YZCHARGE";"Z Canon-Event Rush"
"YZSMOG";"Z Secondhand Vape Screen"


"YD00000001";"[BEL UNITS ONLY] YSM UNLIMITED DIVISION"
"YK00000001";"[BEL UNITS ONLY] YSM UNLIMITED DECK"
"YD00000002";"[BEL UNITS ONLY] YSM BALANCED DIVISION"
"YK00000002";"[BEL UNITS ONLY] YSM BALANCED DECK"
"YD00000003";"[CAN UNITS ONLY] YSM UNLIMITED DIVISION"
"YK00000003";"[CAN UNITS ONLY] YSM UNLIMITED DECK"
"YD00000004";"[CAN UNITS ONLY] YSM BALANCED DIVISION"
"YK00000004";"[CAN UNITS ONLY] YSM BALANCED DECK"
"YD00000005";"[DDR UNITS ONLY] YSM UNLIMITED DIVISION"
"YK00000005";"[DDR UNITS ONLY] YSM UNLIMITED DECK"
"YD00000006";"[DDR UNITS ONLY] YSM BALANCED DIVISION"
"YK00000006";"[DDR UNITS ONLY] YSM BALANCED DECK"
"YD00000007";"[DK UNITS ONLY] YSM UNLIMITED DIVISION"
"YK00000007";"[DK UNITS ONLY] YSM UNLIMITED DECK"
"YD00000008";"[DK UNITS ONLY] YSM BALANCED DIVISION"
"YK00000008";"[DK UNITS ONLY] YSM BALANCED DECK"
"YD00000009";"[ESP UNITS ONLY] YSM UNLIMITED DIVISION"
"YK00000009";"[ESP UNITS ONLY] YSM UNLIMITED DECK"
"YD00000010";"[ESP UNITS ONLY] YSM BALANCED DIVISION"
"YK00000010";"[ESP UNITS ONLY] YSM BALANCED DECK"
"YD00000011";"[FR UNITS ONLY] YSM UNLIMITED DIVISION"
